1, 25, 1.146, 4.993, 298, 0.003355705, 1.608036932
2, 28, 1.125, 4.164, 301, 0.003322259, 1.426476151
3, 31, 1.175, 3.812, 304, 0.003289474, 1.338153986
4, 34, 1.143, 3.298, 307, 0.003257329, 1.193316224
5, 37, 1.281, 2.94, 310, 0.003225806, 1.078409581
6, 40, 1.169, 2.657, 313, 0.003194888, 0.977197667
7, 43, 1.17, 2.265, 316, 0.003164557, 0.817574759
8, 46, 1.182, 2.068, 319, 0.003134796, 0.726581957
9, 49, 1.186, 1.854, 322, 0.00310559, 0.617345467
1 0	52, 1.203, 1.66, 325, 0.003076923, 0.506817602
1 1	55, 1.209, 1.466, 328, 0.00304878, 0.382537603
1 2	58, 1.219, 1.294, 331, 0.003021148, 0.257738196
1 3	61, 1.229, 1.212, 334, 0.002994012, 0.192271888
1 4	64, 1.24, 1.082, 337, 0.002967359, 0.07881118
