| t, ℃  | C, нФ |  ε, 1/мм  | 1/ε, мм  |
+-------+-------+-----------+----------+
|  32.0 |  8.05 |  5.685028 | 0.175901 |
|  35.0 |  7.98 |  5.635593 | 0.177444 |
|  38.0 |  7.94 |  5.607345 | 0.178338 |
|  41.0 |  7.90 |  5.579096 | 0.179241 |
|  44.0 |  7.86 |  5.550847 | 0.180153 |
|  47.0 |  7.83 |  5.529661 | 0.180843 |
|  50.0 |  7.82 |  5.522599 | 0.181074 |
|  53.0 |  7.82 |  5.522599 | 0.181074 |
|  54.0 |  7.83 |  5.529661 | 0.180843 |
|  55.0 |  7.84 |  5.536723 | 0.180612 |
|  56.0 |  7.85 |  5.543785 | 0.180382 |
|  57.0 |  7.86 |  5.550847 | 0.180153 |
|  58.0 |  7.88 |  5.564972 | 0.179695 |
|  59.0 |  7.90 |  5.579096 | 0.179241 |
|  60.0 |  7.92 |  5.593220 | 0.178788 |
|  63.0 |  8.00 |  5.649718 | 0.177000 |
|  66.0 |  8.13 |  5.741525 | 0.174170 |
|  69.0 |  8.32 |  5.875706 | 0.170192 |
|  70.0 |  8.40 |  5.932203 | 0.168571 |
|  71.0 |  8.52 |  6.016949 | 0.166197 |
|  72.0 |  8.60 |  6.073446 | 0.164651 |
|  73.0 |  8.72 |  6.158192 | 0.162385 |
|  76.0 |  9.05 |  6.391243 | 0.156464 |
|  79.0 |  9.58 |  6.765537 | 0.147808 |
|  82.0 | 10.41 |  7.351695 | 0.136023 |
|  85.0 | 11.63 |  8.213277 | 0.121754 |
|  87.0 | 12.88 |  9.096045 | 0.109938 |
|  88.0 | 14.52 | 10.254237 | 0.097521 |
|  89.0 | 16.28 | 11.497175 | 0.086978 |
|  90.0 | 18.30 | 12.923729 | 0.077377 |
|  91.0 | 21.90 | 15.466102 | 0.064658 |
|  92.0 | 27.50 | 19.420904 | 0.051491 |
|  93.0 | 29.40 | 20.762712 | 0.048163 |
|  96.0 | 35.10 | 24.788136 | 0.040342 |
|  99.0 | 33.30 | 23.516949 | 0.042523 |
| 100.0 | 32.20 | 22.740113 | 0.043975 |
| 101.0 | 31.10 | 21.963277 | 0.045531 |
| 102.0 | 30.00 | 21.186441 | 0.047200 |
| 103.0 | 28.80 | 20.338983 | 0.049167 |
| 106.0 | 25.70 | 18.149718 | 0.055097 |
| 109.0 | 22.80 | 16.101695 | 0.062105 |
| 112.0 | 19.90 | 14.053672 | 0.071156 |
| 115.0 | 17.63 | 12.450565 | 0.080318 |
| 118.0 | 15.90 | 11.228814 | 0.089057 |
| 119.0 | 15.35 | 10.840395 | 0.092248 |
| 120.0 | 14.72 | 10.395480 | 0.096196 |
